letter;weight_I;relative_weight_I;weight_II;relative_weight_II;weight_III;relative_weight_III;weight_IV;relative_weight_IV;total_weight;relative_total_weight;center_y;center_x;relative_center_y;relative_center_x;inertia_y;inertia_x;relative_inertia_y;relative_inertia_x;profile_x;profile_y
а;28.55686274509804;0.017848039215686274;42.43921568627451;0.026524509803921566;57.84313725490196;0.03615196078431373;80.54901960784314;0.05034313725490196;209.38823529411764;0.03271691176470588;43.047758175075856;41.35404727122898;0.5380969771884482;0.5169255908903623;6614.216040724264;9972.879280994339;0.0001614798838067447;0.00024347849807115085;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19607843137254902;5.556862745098039;12.007843137254902;15.329411764705883;17.180392156862744;14.898039215686275;8.545098039215686;6.768627450980392;5.91764705882353;5.470588235294118;5.227450980392157;5.2;5.576470588235294;9.654901960784313;21.28235294117647;21.643137254901962;21.08627450980392;19.250980392156862;3.235294117647059;2.0980392156862746;1.7529411764705882;1.5098039215686274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.964705882352941;10.239215686274509;8.262745098039217;8.188235294117646;8.364705882352942;8.466666666666667;8.180392156862744;6.7254901960784315;5.603921568627451;7.956862745098039;8.070588235294117;7.8;7.737254901960784;7.8313725490196076;8.031372549019608;8.227450980392156;8.415686274509804;8.854901960784314;11.31764705882353;15.286274509803922;17.305882352941175;13.788235294117648;7.768627450980392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ә;24.99607843137255;0.015622549019607843;55.80392156862745;0.03487745098039216;51.67843137254902;0.032299019607843135;66.90980392156862;0.04181862745098039;199.38823529411764;0.031154411764705882;41.87896310282433;41.88480450003934;0.5234870387853041;0.5235600562504917;6407.201176300904;9106.404466410906;0.0001564258099682838;0.000222324327793235;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03529411764705882;5.764705882352941;8.905882352941177;10.192156862745097;11.219607843137254;12.050980392156863;10.91764705882353;9.07843137254902;8.509803921568627;8.301960784313726;8.24313725490196;8.298039215686275;8.588235294117647;8.992156862745098;9.83921568627451;11.015686274509804;13.890196078431373;16.937254901960785;14.470588235294118;10.87843137254902;3.2588235294117647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.67843137254902;10.262745098039217;12.847058823529412;14.768627450980393;10.972549019607843;8.172549019607843;6.913725490196079;6.031372549019608;5.152941176470589;4.074509803921568;3.8627450980392157;3.6941176470588237;3.552941176470588;19.462745098039214;19.19607843137255;8.172549019607843;7.894117647058824;7.686274509803922;7.627450980392157;7.796078431372549;9.007843137254902;10.607843137254902;5.952941176470588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
б;72.72549019607843;0.045453431372549015;99.80392156862744;0.06237745098039215;60.36470588235294;0.03772794117647059;63.04705882352941;0.03940441176470588;295.94117647058823;0.04624080882352941;36.12858941231034;41.61869740939508;0.45160736765387927;0.5202337176174385;14528.858893942523;31997.569287619375;0.0003547084690903936;0.0007811906564360199;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00392156862745098;9.788235294117648;17.188235294117646;18.4;20.129411764705882;21.96470588235294;15.764705882352942;11.419607843137255;9.694117647058823;8.737254901960783;8.180392156862744;7.874509803921568;7.8313725490196076;7.862745098039215;8.270588235294118;8.862745098039216;9.992156862745098;11.854901960784314;16.79607843137255;21.815686274509805;19.54901960784314;16.498039215686273;12.63921568627451;4.815686274509804;0.00784313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4509803921568627;9.670588235294117;14.090196078431372;14.803921568627452;14.47843137254902;9.776470588235295;3.8666666666666667;3.019607843137255;2.556862745098039;2.2588235294117647;2.066666666666667;1.968627450980392;1.9098039215686275;8.094117647058823;12.52156862745098;10.341176470588236;9.737254901960783;9.729411764705882;9.949019607843137;10.105882352941176;10.137254901960784;9.996078431372549;9.894117647058824;9.772549019607844;9.647058823529411;9.380392156862746;9.239215686274509;8.890196078431373;8.658823529411764;8.309803921568628;8.07843137254902;7.905882352941177;7.984313725490196;8.592156862745098;10.717647058823529;6.341176470588235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
в;44.831372549019605;0.028019607843137253;48.41960784313726;0.030262254901960786;68.31764705882352;0.042698529411764705;83.98823529411764;0.052492647058823526;245.55686274509804;0.03836825980392157;42.10187329319514;41.83739240142454;0.5262734161649393;0.5229674050178067;8441.115017377664;12139.086863775325;0.00020608190960394687;0.0002963644253851398;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.588235294117647;2.184313725490196;2.815686274509804;10.964705882352941;23.0;23.0;23.0;21.15686274509804;5.43921568627451;5.317647058823529;5.3843137254901965;5.701960784313726;6.286274509803921;7.368627450980392;9.227450980392156;13.24705882352941;17.95686274509804;19.67058823529412;17.48627450980392;14.176470588235293;7.752941176470588;2.831372549019608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.349019607843138;14.733333333333333;9.941176470588236;9.031372549019608;8.803921568627452;8.749019607843136;8.760784313725491;8.850980392156863;9.031372549019608;9.717647058823529;12.592156862745098;13.60392156862745;10.109803921568627;9.411764705882353;9.188235294117646;9.109803921568627;9.098039215686274;9.113725490196078;9.24313725490196;9.537254901960784;10.305882352941177;15.52156862745098;15.75294117647059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
г;43.40392156862745;0.027127450980392157;27.886274509803922;0.01742892156862745;64.85882352941177;0.040536764705882355;4.6;0.002875;140.74901960784314;0.02199203431372549;40.43236465966398;38.9533309186147;0.5054045582457998;0.4869166364826837;2728.9679579948224;8506.959079260134;6.662519428698297e-05;0.00020768943064599935;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4392156862745098;2.070588235294118;2.2745098039215685;2.8745098039215686;10.458823529411765;23.0;23.0;23.0;21.145098039215686;3.6784313725490194;2.9647058823529413;2.792156862745098;2.176470588235294;1.7529411764705882;1.776470588235294;1.8274509803921568;1.9568627450980391;2.2509803921568627;3.1098039215686275;5.023529411764706;3.176470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.356862745098038;15.109803921568627;7.043137254901961;6.094117647058823;5.682352941176471;5.427450980392157;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.235294117647059;4.376470588235295;4.768627450980392;6.705882352941177;11.64313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ғ;43.30980392156863;0.027068627450980393;30.345098039215685;0.018965686274509803;72.45098039215686;0.04528186274509804;15.050980392156863;0.009406862745098039;161.15686274509807;0.025180759803921572;40.42447986373038;38.986008030173984;0.5053059982966298;0.4873251003771748;3198.254723989608;8670.499502968969;7.808239072240254e-05;0.00021168211677170335;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.596078431372549;4.0627450980392155;4.258823529411765;4.854901960784313;11.670588235294117;23.0;23.0;23.0;21.31764705882353;5.9450980392156865;5.207843137254902;5.035294117647059;4.423529411764706;4.0;2.462745098039216;2.074509803921569;2.203921568627451;2.4901960784313726;3.2980392156862743;5.078431372549019;3.176470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.356862745098038;16.75686274509804;7.650980392156863;6.1607843137254905;5.713725490196079;5.43921568627451;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;13.298039215686275;13.298039215686275;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.211764705882353;4.290196078431372;4.7176470588235295;6.698039215686275;11.64313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
д;24.431372549019606;0.015269607843137254;58.654901960784315;0.036659313725490195;50.96862745098039;0.03185539215686275;86.67843137254901;0.054174019607843134;220.73333333333335;0.03448958333333334;43.145610887060954;43.57890809600796;0.5393201360882619;0.5447363512000994;10109.61286153561;16635.994404586858;0.00024681672025233424;0.00040615220714323384;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4196078431372547;6.741176470588235;4.525490196078431;3.623529411764706;3.854901960784314;5.572549019607843;6.705882352941177;8.458823529411765;13.376470588235295;14.305882352941177;5.815686274509804;3.5058823529411764;3.5058823529411764;3.5058823529411764;3.5058823529411764;3.5294117647058822;3.6509803921568627;12.24705882352941;23.137254901960784;23.28627450980392;23.537254901960786;20.619607843137256;5.5019607843137255;5.533333333333333;7.756862745098039;2.5098039215686274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.51764705882353;14.525490196078431;6.886274509803922;6.219607843137255;5.925490196078432;5.8313725490196076;5.815686274509804;5.776470588235294;5.796078431372549;5.792156862745098;5.811764705882353;5.8431372549019605;5.847058823529411;5.890196078431373;5.890196078431373;5.91764705882353;5.909803921568628;5.952941176470588;6.023529411764706;6.266666666666667;6.9450980392156865;17.95294117647059;24.658823529411766;10.411764705882353;6.145098039215687;4.337254901960784;3.23921568627451;2.4941176470588236;2.1098039215686275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
е;29.59607843137255;0.018497549019607845;55.57254901960784;0.0347328431372549;62.16078431372549;0.03885049019607843;42.42745098039216;0.026517156862745098;189.75686274509806;0.029649509803921573;42.3974952467554;40.44721831859139;0.5299686905844425;0.5055902289823924;6069.820374845814;9144.653240878066;0.00014818897399525912;0.00022325813576362465;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050980392156862744;7.752941176470588;12.854901960784314;15.72549019607843;16.19607843137255;11.68235294117647;9.96078431372549;9.086274509803921;8.447058823529412;8.094117647058823;7.8431372549019605;7.792156862745098;7.909803921568628;8.196078431372548;8.858823529411765;10.937254901960785;10.580392156862745;9.690196078431372;8.670588235294117;7.286274509803921;2.1411764705882352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.078431372549019;10.392156862745098;8.16078431372549;7.407843137254902;7.337254901960784;7.572549019607843;7.913725490196079;18.988235294117647;11.31764705882353;3.4980392156862745;3.6392156862745098;3.8901960784313725;4.101960784313725;4.411764705882353;5.580392156862745;6.549019607843137;7.568627450980392;9.047058823529412;12.882352941176471;14.709803921568627;12.8;10.223529411764705;5.686274509803922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ё;50.72941176470588;0.031705882352941174;81.07450980392157;0.05067156862745098;62.16078431372549;0.03885049019607843;42.42745098039216;0.026517156862745098;236.3921568627451;0.036936274509803926;38.71713669542136;40.76615792966158;0.483964208692767;0.5095769741207697;7191.23043990788;22263.76430507306;0.0001755671494118135;0.0005435489332293227;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050980392156862744;7.752941176470588;12.854901960784314;15.72549019607843;17.68235294117647;16.050980392156863;15.250980392156864;14.447058823529412;13.074509803921568;10.27843137254902;7.8431372549019605;7.792156862745098;7.909803921568628;9.898039215686275;13.305882352941177;16.24705882352941;15.925490196078432;14.254901960784315;10.619607843137254;7.286274509803921;2.1411764705882352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0352941176470587;8.2;10.4;10.768627450980393;9.592156862745098;5.63921568627451;0.0;0.0;0.0;0.0;6.078431372549019;10.392156862745098;8.16078431372549;7.407843137254902;7.337254901960784;7.572549019607843;7.913725490196079;18.988235294117647;11.31764705882353;3.4980392156862745;3.6392156862745098;3.8901960784313725;4.101960784313725;4.411764705882353;5.580392156862745;6.549019607843137;7.568627450980392;9.047058823529412;12.882352941176471;14.709803921568627;12.8;10.223529411764705;5.686274509803922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ж;38.8078431372549;0.024254901960784312;82.04313725490196;0.05127696078431373;73.12156862745098;0.045700980392156865;139.78823529411764;0.08736764705882352;333.7607843137255;0.05215012254901961;42.37260454241032;42.474321164624186;0.529657556780129;0.5309290145578023;24806.569132961908;17582.337116670915;0.0006056291292227028;0.0004292562772624735;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4392156862745098;2.6705882352941175;5.329411764705882;6.654901960784314;7.980392156862745;9.333333333333334;10.741176470588234;12.035294117647059;12.43921568627451;11.768627450980393;9.592156862745098;6.992156862745098;6.0;4.956862745098039;4.996078431372549;9.470588235294118;23.0;23.0;23.0;23.0;8.545098039215686;4.968627450980392;5.031372549019608;6.035294117647059;7.172549019607843;9.792156862745099;11.933333333333334;12.509803921568627;12.0;10.576470588235294;9.211764705882352;7.898039215686275;6.580392156862745;5.235294117647059;2.4823529411764707;0.38823529411764707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.133333333333333;20.545098039215688;19.858823529411765;19.101960784313725;10.341176470588236;7.854901960784313;7.776470588235294;7.925490196078432;8.313725490196079;10.176470588235293;14.572549019607843;15.890196078431373;13.823529411764707;13.827450980392157;13.866666666666667;13.886274509803922;13.870588235294118;13.909803921568628;14.031372549019608;14.403921568627451;15.345098039215687;19.564705882352943;25.741176470588236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
